
10.1093/mnras/stu2024	 Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonz&aacute;lez, Bednarek, Berger, Bernardini, Biland, Blanch, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, Covino, da Vela, Dazzi, de Angelis, de Caneva, de Lotto, Delgado Mendez, Doert, Dom&iacute;nguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadasch, Hayashida, Herrera, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Kodani, Konno, Krause, Kubo, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nishijima, Noda, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, Rodriguez Garcia, R&uuml;gamer, Saggion, Saito, Saito, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Sun, Suri&cacute;, Takalo, Takami, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, Zanin, MAGIC Collaboration, Tronconi, Buson, and Borghese	 Discovery of very high energy &gamma;-ray emission from the blazar 1ES 0033+595 by the MAGIC telescopes	 2015	 Monthly Notices of the Royal Astronomical Society	 ARTICLE	 4 

0	 Erwin, Saglia, Thomas, Opitsch, Fabricius, Nowak, Bender, Williams, and Mazzalay	 SMBH Measurements and Host-Galaxy Correlations: Ellipticals, Bulges, Pseudobulges, and Composite Bulges	 2015	 American Astronomical Society Meeting Abstracts	 INPROCEEDINGS	 0 

10.1051/0004-6361/201322906	 Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonz&aacute;lez, Bednarek, Berger, Bernardini, Biland, Blanch, Bock, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, Covino, da Vela, Dazzi, de Angelis, de Caneva, de Lotto, Delgado Mendez, Doert, Dom&iacute;nguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Giavitto, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadamek, Hadasch, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Knoetig, Krause, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, Rodriguez Garcia, R&uuml;gamer, Saggion, Saito, Saito, Salvati, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Sun, Suri&cacute;, Takalo, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, Zanin, MAGIC Collaboration, Behera, Beilicke, Benbow, Berger, Bird, Bouvier, Bugaev, Cerruti, Chen, Ciupik, Collins-Hughes, Cui, Duke, Dumm, Falcone, Federici, Feng, Finley, Fortson, Furniss, Galante, Gillanders, Griffin, Griffiths, Grube, Gyuk, Hanna, Holder, Johnson, Kaaret, Kertzman, Kieda, Krawczynski, Lang, Madhavan, Maier, Majumdar, Meagher, Moriarty, Mukherjee, Nieto, O'Faol&aacute;in de Bhr&oacute;ithe, Ong, Otte, Pichel, Pohl, Popkow, Prokoph, Quinn, Rajotte, Ratliff, Reyes, Reynolds, Richards, Roache, Sembroski, Shahinyan, Sheidaei, Smith, Staszak, Telezhinsky, Theiling, Tyler, Varlotta, Vincent, Wakely, Weekes, Welsing, Williams, Zajczyk, Zitzer, VERITAS Collaboration, Villata, Raiteri, Ajello, Perri, Aller, Aller, Larionov, Efimova, Konstantinova, Kopatskaya, Chen, Koptelova, Hsiao, Kurtanidze, Nikolashvili, Kimeridze, Jordan, Leto, Buemi, Trigilio, Umana, L&auml;hteenm&auml;ki, Nieppola, Tornikoski, Sainio, Kadenius, Giroletti, Cesarini, Fuhrmann, Kovalev, and Kovalev	 Multiwavelength observations of Mrk 501 in 2008	 2015	 Astronomy and Astrophysics	 ARTICLE	10 

10.1051/0004-6361/201424254	 Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonz&aacute;lez, Bednarek, Bernardini, Biland, Blanch, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, Covino, da Vela, Dazzi, de Angelis, de Caneva, de Lotto, Delgado Mendez, Doert, Dom&iacute;nguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadasch, Hayashida, Herrera, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Kodani, Konno, Krause, Kubo, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nishijima, Noda, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, Rodriguez Garcia, R&uuml;gamer, Saggion, Saito, Saito, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Strzys, Sun, Suri&cacute;, Takalo, Takami, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, Zanin, and MAGIC Collaboration	 First broadband characterization and redshift determination of the VHE blazar MAGIC J2001+439	 2014	 Astronomy and Astrophysics	 ARTICLE	 9 

10.1051/0004-6361/201423517	 MAGIC Collaboration, Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonz&aacute;lez, Bednarek, Bernardini, Biland, Blanch, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, Covino, Da Vela, Dazzi, De Angelis, De Caneva, De Lotto, Delgado Mendez, Doert, Dom&iacute;nguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadasch, Hayashida, Herrera, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Klepser, Kodani, Konno, Krause, Kubo, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nishijima, Noda, Nowak, de O&ntilde;a Wilhelmi, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, Rodriguez Garcia, R&uuml;gamer, Saggion, Saito, Saito, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Strzys, Sun, Suri&cacute;, Takalo, Takami, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, and Zanin	 MAGIC reveals a complex morphology within the unidentified gamma-ray source HESS J1857+026	 2014	 Astronomy and Astrophysics	 ARTICLE	 4 
